

@relation 'DatosUtilizadosAlfredoDGB2-GTM-982'
@attribute MARKS real
@attribute PC-ACTIV real
@attribute PC-ASSIST real
@attribute AGE real
@attribute AVER-INHOUSE real
@attribute AVER-FORUM real
@attribute AVER-MAIL real
@attribute AVER-CLASS real
@data
0,62.06896552,46.66666667,49.29,0,0,0,0
3,65.51724138,100,32.06,10,10,10,0
2.95,65.51724138,100,33.84,10,10,10,0
9.85,65.51724138,100,25.93,9,10,10,10
1.85,65.51724138,100,35.25,8,5,5,0
2.85,65.51724138,100,30.85,9,10,10,0
2,65.51724138,100,25.91,9,5,5,0
3,65.51724138,100,42.73,10,10,10,0
2.25,65.51724138,100,38.60,9,6,3,0
3,65.51724138,93.33333333,28.81,10,10,10,0
2.65,65.51724138,60,47.30,9,9,8,0
2.8,65.51724138,100,52.44,9,10,9,0
0.9,62.06896552,46.66666667,48.12,0,10,5,0
10,65.51724138,100,47.94,10,10,10,10
7.45,62.06896552,40,60.86,0,9,4,10
3,65.51724138,100,44.41,10,10,10,0
0.5,62.06896552,46.66666667,38.88,0,10,0,0
0,10.34482759,6.666666667,42.42,0,0,0,0
2.95,65.51724138,100,45.30,10,10,10,0
2,65.51724138,100,39.23,10,5,0,0
2.95,65.51724138,100,33.20,10,10,10,0
2.9,65.51724138,100,28.41,10,9,10,0
1.15,62.06896552,46.66666667,44.54,0,10,10,0
2.75,65.51724138,100,66.16,10,8,9,0
2.05,65.51724138,100,29.53,4,10,10,0
1.5,62.06896552,46.66666667,55.81,0,10,10,0
3,65.51724138,100,28.19,10,10,10,0
1.35,65.51724138,100,29.01,7,0,4,0
0.6,62.06896552,46.66666667,42.48,0,9,0,0
1.5,65.51724138,80,45.24,10,0,0,0
2.6,65.51724138,100,31.43,9,10,5,0
1.65,65.51724138,100,53.57,10,3,0,0
3,65.51724138,66.66666667,41.48,10,10,10,0
1.6,65.51724138,100,27.04,3,8,10,0
2.75,65.51724138,73.33333333,32.88,10,8,8,0
2.9,65.51724138,100,48.23,10,9,9,0
1.2,62.06896552,46.66666667,50.48,0,8,8,0
8.9,65.51724138,100,26.07,9,8,9,9
2.5,65.51724138,100,47.94,10,8,4,0
2.85,65.51724138,100,36.57,10,9,9,0
